ACCESSIBLE,ADULT_BASEBALL,ADULT_FOOTBALL,ADULT_SOFTBALL,BASKETBALL,BOCCE,BOROUGH,COMMUNITYBOARD,COUNCILDISTRICT,CRICKET,DEPARTMENT,DIMENSIONS,FEATURESTATUS,FIELD_LIGHTED,FIELD_NUMBER,FLAGFOOTBALL,FRISBEE,GISPROPNUM,HANDBALL,HOCKEY,KICKBALL,LACROSSE,LL_BASEB_12ANDUNDER,LL_BASEB_13ANDOLDER,LL_SOFTBALL,MAINTENANCEAGREEMENT,NETBALL,NONREGULATION_SOCCER,PRECINCT,PRIMARY_SPORT,Pickleball,REGULATION_SOCCER,RUGBY,STArea,STLength,SURFACE_TYPE,SYSTEM,TENNIS,TRACK_AND_FIELD,T_BALL,VOLLEYBALL,WHEELCHAIRFOOTBALL,YOUTH_FOOTBALL,ZIPCODE,multipolygon
false,false,false,false,false,false,B,305,42,false,B-05,Handball,Active,false,02,false,false,B380,true,false,false,false,false,false,false,false,false,false,75,HDB,false,false,false,1383.3709564208984,151.10133944147003,Asphalt,B380-HANDBALL-2,false,false,false,false,false,false,11208,"MULTIPOLYGON (((-73.86521464974336 40.67485218487543, -73.86505755082288 40.67487653348306, -73.86507856078529 40.67495995400608, -73.8652352881407 40.674936955708496, -73.86521464974336 40.67485218487543)))"
false,false,false,false,false,false,B,305,42,false,B-05,Handball,Active,false,01,false,false,B380,true,false,false,false,false,false,false,false,false,false,75,HDB,false,false,false,1534.071304321289,160.2401170087636,Asphalt,B380-HANDBALL-1,false,false,false,false,false,false,11208,"MULTIPOLYGON (((-73.86521464974336 40.67485218487543, -73.8652352881407 40.674936955708496, -73.86540604753577 40.67491350624572, -73.86538741471522 40.674827073636315, -73.86521464974336 40.67485218487543)))"
false,false,false,false,false,false,B,305,42,false,B-05,Handball,Active,false,02,false,false,B312,true,false,false,false,false,false,false,false,false,false,75,HDB,false,false,false,1379.4346008300781,149.65718543846327,Asphalt,B312-HANDBALL-2,false,false,false,false,false,false,11208,"MULTIPOLYGON (((-73.86580247518782 40.665168224270815, -73.86577476676443 40.66505426123369, -73.86565771650969 40.66507140011752, -73.86568615332646 40.665183549491566, -73.86580247518782 40.665168224270815)))"
false,false,false,false,false,false,B,304,34,false,B-04,Handball,Active,false,02,false,false,B139,true,false,false,false,false,false,false,false,false,false,83,HDB,false,false,false,1456.166763305664,155.25805050178988,Asphalt,B139-HANDBALL-2,false,false,false,false,false,false,11221,"MULTIPOLYGON (((-73.91784095939478 40.6953618644719, -73.91770858579656 40.69528495253521, -73.91763794715567 40.69535362465647, -73.91776877704586 40.6954293910187, -73.91784095939478 40.6953618644719)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,05,false,false,B223JC,true,false,false,false,false,false,false,false,false,false,84,HDB,false,false,false,1305.8379821777344,148.41737348832797,Asphalt,B223J03-HANDBALL-6,false,false,false,false,false,false,11201,"MULTIPOLYGON (((-73.98457376470616 40.700123183382594, -73.98463949507894 40.700183980341095, -73.9847662751377 40.7001045864334, -73.98470054472737 40.70004379044718, -73.98457376470616 40.700123183382594)))"
false,false,false,false,false,false,B,301,34,false,B-01,Handball,Active,false,02,false,false,B311,true,false,false,false,false,false,false,false,false,false,90,HDB,false,false,false,1325.1688995361328,147.7228636633235,Asphalt,B311-HANDBALL-2,false,false,false,false,false,false,11206,"MULTIPOLYGON (((-73.93856752649658 40.70873052737073, -73.93867762529186 40.708721277489715, -73.93865998891877 40.7086035991827, -73.93854989031536 40.70861284904701, -73.93856752649658 40.70873052737073)))"
false,false,false,false,false,false,B,301,34,false,B-01,Handball,Active,false,02,false,false,B257,true,false,false,false,false,false,false,false,false,false,94,HDB,false,false,false,1098.7464904785156,132.92990013985636,Asphalt,B257-HANDBALL-2,false,false,false,false,false,false,11211,"MULTIPOLYGON (((-73.93870956602566 40.71861682828502, -73.93858828775056 40.71864782225105, -73.93862303481974 40.71872828785009, -73.93874528751137 40.718697048526906, -73.93870956602566 40.71861682828502)))"
false,false,false,false,false,false,B,301,34,false,B-01,Handball,Active,false,01,false,false,B132,true,false,false,false,false,false,false,false,false,false,90,HDB,false,false,false,839.6296997070312,118.65665563889917,Asphalt,B132-B059-HANDBALL-2,false,false,false,false,false,false,11206,"MULTIPOLYGON (((-73.93390682867275 40.7061130765218, -73.93403396631969 40.70608920394725, -73.93401261261577 40.70602764894164, -73.9338873540772 40.70605045006265, -73.93390682867275 40.7061130765218)))"
false,false,false,false,false,false,B,301,34,false,B-01,Handball,Active,false,02,false,false,B096,false,false,false,false,false,false,false,false,false,false,94,HDB,false,false,false,1469.3398132324219,154.0817751779288,Asphalt,B096-HANDBALL-2,false,false,false,false,false,false,11222,"MULTIPOLYGON (((-73.93621211622141 40.7238191810644, -73.93616553827789 40.72370851415043, -73.93604617501707 40.72373736867524, -73.9360927315288 40.723847981594744, -73.93621211622141 40.7238191810644)))"
false,false,false,false,false,false,B,301,33,false,B-01,Handball,Active,false,04,false,false,B022,true,false,false,false,false,false,false,false,false,false,90,HDB,false,false,false,1192.7633514404297,139.19921940808777,Asphalt,B022-HANDBALL-3,false,false,false,false,false,false,11206,"MULTIPOLYGON (((-73.95547953636913 40.70044280784737, -73.95540727178219 40.70037959633756, -73.95530096163077 40.70044999136014, -73.95537322264354 40.70051320293473, -73.95547953636913 40.70044280784737)))"
false,false,false,false,false,false,R,501,49,false,R-01,Handball,Active,false,02,false,false,R025,true,false,false,false,false,false,false,false,false,false,120,HDB,false,false,false,988.7220458984375,131.35930578739928,Asphalt,R025-HANDBALL-5,false,false,false,false,false,false,10301,"MULTIPOLYGON (((-74.08549097756635 40.643145476731384, -74.08562878098176 40.64309510995517, -74.08559230190642 40.643037302202266, -74.08545518630677 40.64308741807988, -74.08549097756635 40.643145476731384)))"
false,false,false,false,false,false,R,501,49,false,R-01,Handball,Active,false,01,false,false,R025,true,false,false,false,false,false,false,false,false,false,120,HDB,false,false,false,1100.9671325683594,136.7483745992754,Asphalt,R025-HANDBALL-4,false,false,false,false,false,false,10301,"MULTIPOLYGON (((-74.08553224887196 40.643209411682385, -74.0856700523871 40.643159043956565, -74.08562878098176 40.64309510995517, -74.08549097756635 40.643145476731384, -74.08553224887196 40.643209411682385)))"
false,false,false,false,false,false,M,103,1,false,M-03,Handball,Active,false,01,false,false,M064,true,false,false,false,false,false,false,false,false,false,7,HDB,false,false,false,945.5682830810547,123.86944695652063,Asphalt,M064-HANDBALL-2,false,false,false,false,false,false,10002,"MULTIPOLYGON (((-73.98408083773762 40.71206641421855, -73.98406041757332 40.71197264661761, -73.98396364573186 40.71198438394172, -73.98398306810213 40.7120782720893, -73.98408083773762 40.71206641421855)))"
false,false,false,false,false,false,M,103,2,false,M-03,Handball,Active,false,03,false,false,M033,true,false,false,false,false,false,false,false,false,false,7,HDB,false,false,false,1134.2068634033203,139.5652932912588,Asphalt,M033-HANDBALL-5,false,false,false,false,false,false,10002,"MULTIPOLYGON (((-73.98062778207675 40.71918146672558, -73.98054170469432 40.719155851615454, -73.98048255097187 40.71926747510576, -73.98056920690618 40.71929422229821, -73.98062778207675 40.71918146672558)))"
false,false,false,false,false,false,M,103,2,false,M-03,Handball,Active,false,01,false,false,M033,true,false,false,false,false,false,false,false,false,false,7,HDB,false,false,false,1129.9759979248047,138.98464537067227,Asphalt,M033-HANDBALL-4,false,false,false,false,false,false,10002,"MULTIPOLYGON (((-73.98056920690618 40.71929422229821, -73.98048255097187 40.71926747510576, -73.98042397952082 40.719378561959154, -73.98051102741856 40.719405022899544, -73.98056920690618 40.71929422229821)))"
false,false,false,false,false,false,M,103,1,false,M-03,Handball,Active,false,02,false,false,M019,true,false,false,false,false,false,false,false,false,false,5,HDB,false,false,false,1083.746322631836,137.0860033226738,Asphalt,M019-HANDBALL-2,false,false,false,false,false,false,10002,"MULTIPOLYGON (((-73.99303769716043 40.710918786667726, -73.99319331658933 40.71089806711612, -73.99317704097412 40.710830399968806, -73.9930218357116 40.71085283679784, -73.99303769716043 40.710918786667726)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,03,false,false,B223JC,true,false,false,false,false,false,false,false,false,false,84,HDB,false,false,false,1198.8494567871094,143.71706403851073,Asphalt,B223J03-HANDBALL-5,false,false,false,false,false,false,11201,"MULTIPOLYGON (((-73.98488749768806 40.70021670986437, -73.98482715312187 40.70016089449025, -73.98470037302859 40.70024028846446, -73.98476071874369 40.70029610390466, -73.98488749768806 40.70021670986437)))"
false,false,false,false,false,false,B,302,35,false,B-02,Handball,Active,false,04,false,false,B223JC,true,false,false,false,false,false,false,false,false,false,84,HDB,false,false,false,1209.436752319336,144.18229799232725,Asphalt,B223J03-HANDBALL-4,false,false,false,false,false,false,11201,"MULTIPOLYGON (((-73.98463949507894 40.700183980341095, -73.98470037302859 40.70024028846446, -73.98482715312187 40.70016089449025, -73.9847662751377 40.7001045864334, -73.98463949507894 40.700183980341095)))"
